# ----------------------------------------
# 全部移动应用数据
# 互动度概览
# 20160101-20191017
# ----------------------------------------

天索引,事件总数
2016/1/1,0
2016/1/2,0
2016/1/3,0
2016/1/4,0
2016/1/5,0
2016/1/6,0
2016/1/7,0
2016/1/8,0
2016/1/9,0
2016/1/10,0
2016/1/11,0
2016/1/12,0
2016/1/13,0
2016/1/14,0
2016/1/15,0
2016/1/16,0
2016/1/17,0
2016/1/18,0
2016/1/19,0
2016/1/20,0
2016/1/21,0
2016/1/22,0
2016/1/23,0
2016/1/24,0
2016/1/25,0
2016/1/26,0
2016/1/27,0
2016/1/28,0
2016/1/29,0
2016/1/30,0
2016/1/31,0
2016/2/1,0
2016/2/2,0
2016/2/3,0
2016/2/4,0
2016/2/5,0
2016/2/6,0
2016/2/7,0
2016/2/8,0
2016/2/9,0
2016/2/10,0
2016/2/11,0
2016/2/12,0
2016/2/13,0
2016/2/14,0
2016/2/15,0
2016/2/16,0
2016/2/17,0
2016/2/18,0
2016/2/19,0
2016/2/20,0
2016/2/21,0
2016/2/22,0
2016/2/23,0
2016/2/24,0
2016/2/25,0
2016/2/26,0
2016/2/27,0
2016/2/28,0
2016/2/29,0
2016/3/1,0
2016/3/2,0
2016/3/3,0
2016/3/4,0
2016/3/5,0
2016/3/6,0
2016/3/7,0
2016/3/8,0
2016/3/9,0
2016/3/10,0
2016/3/11,0
2016/3/12,0
2016/3/13,0
2016/3/14,0
2016/3/15,0
2016/3/16,972
2016/3/17,"1,149"
2016/3/18,464
2016/3/19,25
2016/3/20,16
2016/3/21,770
2016/3/22,970
2016/3/23,854
2016/3/24,804
2016/3/25,285
2016/3/26,17
2016/3/27,262
2016/3/28,497
2016/3/29,"1,000"
2016/3/30,440
2016/3/31,"1,294"
2016/4/1,741
2016/4/2,55
2016/4/3,294
2016/4/4,11
2016/4/5,710
2016/4/6,918
2016/4/7,"1,357"
2016/4/8,"7,439"
2016/4/9,"12,685"
2016/4/10,"14,773"
2016/4/11,"15,030"
2016/4/12,"13,126"
2016/4/13,"15,784"
2016/4/14,"13,582"
2016/4/15,"14,848"
2016/4/16,"14,145"
2016/4/17,"13,467"
2016/4/18,"14,465"
2016/4/19,"13,724"
2016/4/20,"14,740"
2016/4/21,"13,628"
2016/4/22,"15,207"
2016/4/23,"14,621"
2016/4/24,"13,223"
2016/4/25,"12,661"
2016/4/26,"13,487"
2016/4/27,"15,098"
2016/4/28,"14,934"
2016/4/29,"15,908"
2016/4/30,"13,218"
2016/5/1,"14,149"
2016/5/2,"18,240"
2016/5/3,"16,086"
2016/5/4,"15,074"
2016/5/5,"16,824"
2016/5/6,"14,371"
2016/5/7,"14,385"
2016/5/8,"13,724"
2016/5/9,"14,107"
2016/5/10,"15,569"
2016/5/11,"13,938"
2016/5/12,"14,041"
2016/5/13,"14,125"
2016/5/14,"16,014"
2016/5/15,"14,145"
2016/5/16,"13,480"
2016/5/17,"14,380"
2016/5/18,"16,384"
2016/5/19,"19,986"
2016/5/20,"14,091"
2016/5/21,"16,185"
2016/5/22,"14,151"
2016/5/23,"13,411"
2016/5/24,"13,000"
2016/5/25,"13,675"
2016/5/26,"15,663"
2016/5/27,"15,632"
2016/5/28,"14,027"
2016/5/29,"13,590"
2016/5/30,"13,538"
2016/5/31,"14,946"
2016/6/1,"15,946"
2016/6/2,"15,672"
2016/6/3,"13,646"
2016/6/4,"12,339"
2016/6/5,"11,608"
2016/6/6,"12,561"
2016/6/7,"14,415"
2016/6/8,"16,420"
2016/6/9,"11,488"
2016/6/10,"12,722"
2016/6/11,"10,653"
2016/6/12,"13,624"
2016/6/13,"15,040"
2016/6/14,"16,344"
2016/6/15,"16,256"
2016/6/16,"14,050"
2016/6/17,"14,765"
2016/6/18,"12,650"
2016/6/19,"13,303"
2016/6/20,"13,801"
2016/6/21,"13,420"
2016/6/22,"14,796"
2016/6/23,"14,991"
2016/6/24,"12,938"
2016/6/25,"12,842"
2016/6/26,"12,307"
2016/6/27,"14,797"
2016/6/28,"15,240"
2016/6/29,"12,922"
2016/6/30,"13,559"
2016/7/1,"13,523"
2016/7/2,"11,884"
2016/7/3,"12,252"
2016/7/4,"11,936"
2016/7/5,"13,126"
2016/7/6,"14,669"
2016/7/7,"16,832"
2016/7/8,"18,082"
2016/7/9,"22,045"
2016/7/10,"34,117"
2016/7/11,"43,698"
2016/7/12,"41,276"
2016/7/13,"44,862"
2016/7/14,"46,902"
2016/7/15,"44,174"
2016/7/16,"41,635"
2016/7/17,"39,504"
2016/7/18,"42,510"
2016/7/19,"46,294"
2016/7/20,"44,237"
2016/7/21,"42,742"
2016/7/22,"45,158"
2016/7/23,"40,440"
2016/7/24,"39,826"
2016/7/25,"41,891"
2016/7/26,"45,590"
2016/7/27,"52,484"
2016/7/28,"49,398"
2016/7/29,"47,998"
2016/7/30,"42,210"
2016/7/31,"38,977"
2016/8/1,"43,953"
2016/8/2,"58,571"
2016/8/3,"58,517"
2016/8/4,"71,391"
2016/8/5,"62,997"
2016/8/6,"49,167"
2016/8/7,"43,176"
2016/8/8,"49,391"
2016/8/9,"51,195"
2016/8/10,"53,687"
2016/8/11,"57,662"
2016/8/12,"60,234"
2016/8/13,"51,396"
2016/8/14,"47,802"
2016/8/15,"47,338"
2016/8/16,"53,086"
2016/8/17,"49,764"
2016/8/18,"51,706"
2016/8/19,"46,314"
2016/8/20,"39,482"
2016/8/21,"39,256"
2016/8/22,"42,986"
2016/8/23,"45,689"
2016/8/24,"48,185"
2016/8/25,"50,465"
2016/8/26,"48,541"
2016/8/27,"39,348"
2016/8/28,"36,358"
2016/8/29,"45,713"
2016/8/30,"52,709"
2016/8/31,"52,883"
2016/9/1,"51,284"
2016/9/2,"53,413"
2016/9/3,"43,347"
2016/9/4,"38,260"
2016/9/5,"46,628"
2016/9/6,"54,229"
2016/9/7,"62,570"
2016/9/8,"90,286"
2016/9/9,"53,699"
2016/9/10,"42,580"
2016/9/11,"36,429"
2016/9/12,"43,025"
2016/9/13,"57,358"
2016/9/14,"57,570"
2016/9/15,"47,339"
2016/9/16,"44,202"
2016/9/17,"44,336"
2016/9/18,"47,630"
2016/9/19,"50,117"
2016/9/20,"49,744"
2016/9/21,"51,139"
2016/9/22,"53,299"
2016/9/23,"47,221"
2016/9/24,"37,424"
2016/9/25,"34,174"
2016/9/26,"46,120"
2016/9/27,"47,131"
2016/9/28,"48,035"
2016/9/29,"50,178"
2016/9/30,"46,886"
2016/10/1,"39,729"
2016/10/2,"40,024"
2016/10/3,"40,094"
2016/10/4,"38,499"
2016/10/5,"49,495"
2016/10/6,"39,777"
2016/10/7,"40,897"
2016/10/8,"38,711"
2016/10/9,"35,778"
2016/10/10,"39,528"
2016/10/11,"45,772"
2016/10/12,"45,792"
2016/10/13,"50,416"
2016/10/14,"48,893"
2016/10/15,"39,183"
2016/10/16,"37,991"
2016/10/17,"41,948"
2016/10/18,"46,246"
2016/10/19,"53,005"
2016/10/20,"46,976"
