# ----------------------------------------
# 全部移动应用数据
# 热门事件
# 20160101-20191017
# ----------------------------------------

事件操作,事件总数,唯一身份事件数,事件价值,平均价值
Back,"7,631,552","2,832,772",0,0.00
LoadMore,"6,468,698","2,743,218","3,010,495",0.47
ToArticle,"4,817,297","2,725,495",0,0.00
FocusArticle,"4,520,922","2,923,506",0,0.00
SlideBack,"2,923,974","1,227,013",0,0.00
CommonArticle,"2,493,726","985,253",0,0.00
HomeLoadNextPage,"1,341,615","647,956","1,341,615",1.00
ToHomePage,"958,271","731,426",0,0.00
ClickBackButton,"683,037","378,827",0,0.00
PhysicalBack,"614,626","254,519",0,0.00
,"40,278,431","20,621,008","4,486,104",0.11

天索引,事件总数
2016/1/1,0
2016/1/2,0
2016/1/3,0
2016/1/4,0
2016/1/5,0
2016/1/6,0
2016/1/7,0
2016/1/8,0
2016/1/9,0
2016/1/10,0
2016/1/11,0
2016/1/12,0
2016/1/13,0
2016/1/14,0
2016/1/15,0
2016/1/16,0
2016/1/17,0
2016/1/18,0
2016/1/19,0
2016/1/20,0
2016/1/21,0
2016/1/22,0
2016/1/23,0
2016/1/24,0
2016/1/25,0
2016/1/26,0
2016/1/27,0
2016/1/28,0
2016/1/29,0
2016/1/30,0
2016/1/31,0
2016/2/1,0
2016/2/2,0
2016/2/3,0
2016/2/4,0
2016/2/5,0
2016/2/6,0
2016/2/7,0
2016/2/8,0
2016/2/9,0
2016/2/10,0
2016/2/11,0
2016/2/12,0
2016/2/13,0
2016/2/14,0
2016/2/15,0
2016/2/16,0
2016/2/17,0
2016/2/18,0
2016/2/19,0
2016/2/20,0
2016/2/21,0
2016/2/22,0
2016/2/23,0
2016/2/24,0
2016/2/25,0
2016/2/26,0
2016/2/27,0
2016/2/28,0
2016/2/29,0
2016/3/1,0
2016/3/2,0
2016/3/3,0
2016/3/4,0
2016/3/5,0
2016/3/6,0
2016/3/7,0
2016/3/8,0
2016/3/9,0
2016/3/10,0
2016/3/11,0
2016/3/12,0
2016/3/13,0
2016/3/14,0
2016/3/15,0
2016/3/16,0
2016/3/17,387
2016/3/18,529
2016/3/19,0
2016/3/20,0
2016/3/21,183
2016/3/22,20
2016/3/23,20
2016/3/24,0
2016/3/25,0
2016/3/26,0
2016/3/27,0
2016/3/28,0
2016/3/29,"4,456"
2016/3/30,0
2016/3/31,81
2016/4/1,20
2016/4/2,0
2016/4/3,0
2016/4/4,0
2016/4/5,549
2016/4/6,"1,160"
2016/4/7,265
2016/4/8,"7,325"
2016/4/9,"10,276"
2016/4/10,"12,229"
2016/4/11,"16,747"
2016/4/12,"13,878"
2016/4/13,"14,773"
2016/4/14,"15,322"
2016/4/15,"14,101"
2016/4/16,"13,735"
2016/4/17,"14,101"
2016/4/18,"10,825"
2016/4/19,"11,110"
2016/4/20,"16,462"
2016/4/21,"16,787"
2016/4/22,"17,296"
2016/4/23,"14,244"
2016/4/24,"17,011"
2016/4/25,"11,782"
2016/4/26,"10,927"
2016/4/27,"14,447"
2016/4/28,"12,270"
2016/4/29,"12,758"
2016/4/30,"14,020"
2016/5/1,"13,511"
2016/5/2,"18,965"
2016/5/3,"19,148"
2016/5/4,"19,250"
2016/5/5,"15,322"
2016/5/6,"10,785"
2016/5/7,"12,820"
2016/5/8,"12,006"
2016/5/9,"12,881"
2016/5/10,"16,726"
2016/5/11,"15,933"
2016/5/12,"14,264"
2016/5/13,"10,968"
2016/5/14,"8,974"
2016/5/15,"9,808"
2016/5/16,"10,357"
2016/5/17,"11,009"
2016/5/18,"14,203"
2016/5/19,"18,395"
2016/5/20,"12,270"
2016/5/21,"10,988"
2016/5/22,"13,796"
2016/5/23,"10,886"
2016/5/24,"13,206"
2016/5/25,"15,770"
2016/5/26,"16,604"
2016/5/27,"14,936"
2016/5/28,"17,764"
2016/5/29,"16,360"
2016/5/30,"12,758"
2016/5/31,"14,061"
2016/6/1,"14,386"
2016/6/2,"18,212"
2016/6/3,"9,645"
2016/6/4,"10,357"
2016/6/5,"10,337"
2016/6/6,"9,971"
2016/6/7,"13,511"
2016/6/8,"12,616"
2016/6/9,"12,352"
2016/6/10,"10,541"
2016/6/11,"10,276"
2016/6/12,"13,776"
2016/6/13,"11,477"
2016/6/14,"18,761"
2016/6/15,"17,500"
2016/6/16,"10,602"
2016/6/17,"15,628"
2016/6/18,"11,578"
2016/6/19,"18,049"
2016/6/20,"15,648"
2016/6/21,"13,247"
2016/6/22,"15,343"
2016/6/23,"18,192"
2016/6/24,"14,203"
2016/6/25,"14,570"
2016/6/26,"11,131"
2016/6/27,"14,753"
2016/6/28,"15,261"
2016/6/29,"12,555"
2016/6/30,"10,927"
2016/7/1,"15,689"
2016/7/2,"12,677"
2016/7/3,"11,639"
2016/7/4,"10,154"
2016/7/5,"13,308"
2016/7/6,"13,227"
2016/7/7,"16,075"
2016/7/8,"18,354"
2016/7/9,"17,846"
2016/7/10,"32,456"
2016/7/11,"47,025"
2016/7/12,"48,368"
2016/7/13,"44,339"
2016/7/14,"56,345"
2016/7/15,"42,223"
2016/7/16,"41,084"
2016/7/17,"43,851"
2016/7/18,"45,703"
2016/7/19,"43,688"
2016/7/20,"37,767"
2016/7/21,"42,630"
2016/7/22,"42,528"
2016/7/23,"42,243"
2016/7/24,"42,589"
2016/7/25,"39,334"
2016/7/26,"45,133"
2016/7/27,"44,502"
2016/7/28,"50,240"
2016/7/29,"42,711"
2016/7/30,"47,310"
2016/7/31,"40,412"
2016/8/1,"45,682"
2016/8/2,"60,577"
2016/8/3,"52,784"
2016/8/4,"68,880"
2016/8/5,"65,135"
2016/8/6,"52,906"
2016/8/7,"41,552"
2016/8/8,"47,778"
2016/8/9,"48,063"
2016/8/10,"53,069"
2016/8/11,"60,638"
2016/8/12,"57,627"
2016/8/13,"54,717"
2016/8/14,"48,063"
2016/8/15,"45,031"
2016/8/16,"53,862"
2016/8/17,"44,726"
2016/8/18,"51,461"
2016/8/19,"47,310"
2016/8/20,"39,415"
2016/8/21,"38,682"
2016/8/22,"43,607"
2016/8/23,"42,813"
2016/8/24,"48,775"
2016/8/25,"50,505"
2016/8/26,"48,653"
2016/8/27,"37,909"
2016/8/28,"37,848"
2016/8/29,"43,586"
2016/8/30,"55,470"
2016/8/31,"46,863"
2016/9/1,"46,008"
2016/9/2,"50,566"
2016/9/3,"44,909"
2016/9/4,"44,604"
2016/9/5,"46,598"
2016/9/6,"61,981"
2016/9/7,"61,290"
2016/9/8,"90,937"
2016/9/9,"53,781"
2016/9/10,"39,659"
2016/9/11,"30,563"
2016/9/12,"43,342"
2016/9/13,"59,621"
2016/9/14,"59,825"
2016/9/15,"50,139"
2016/9/16,"39,517"
2016/9/17,"44,177"
2016/9/18,"44,502"
2016/9/19,"41,918"
2016/9/20,"43,607"
2016/9/21,"54,453"
2016/9/22,"50,322"
2016/9/23,"46,395"
2016/9/24,"36,017"
2016/9/25,"32,700"
2016/9/26,"53,944"
2016/9/27,"45,886"
