# ----------------------------------------
# 全部移动应用数据
# 互动度概览
# 20160101-20191017
# ----------------------------------------

天索引,屏幕浏览量
2016/1/1,0
2016/1/2,0
2016/1/3,0
2016/1/4,0
2016/1/5,0
2016/1/6,0
2016/1/7,0
2016/1/8,0
2016/1/9,0
2016/1/10,0
2016/1/11,0
2016/1/12,0
2016/1/13,0
2016/1/14,0
2016/1/15,0
2016/1/16,0
2016/1/17,0
2016/1/18,0
2016/1/19,0
2016/1/20,0
2016/1/21,0
2016/1/22,0
2016/1/23,0
2016/1/24,0
2016/1/25,0
2016/1/26,0
2016/1/27,0
2016/1/28,0
2016/1/29,0
2016/1/30,0
2016/1/31,0
2016/2/1,0
2016/2/2,0
2016/2/3,0
2016/2/4,0
2016/2/5,0
2016/2/6,0
2016/2/7,0
2016/2/8,0
2016/2/9,0
2016/2/10,0
2016/2/11,0
2016/2/12,0
2016/2/13,0
2016/2/14,0
2016/2/15,0
2016/2/16,0
2016/2/17,0
2016/2/18,0
2016/2/19,0
2016/2/20,0
2016/2/21,0
2016/2/22,0
2016/2/23,0
2016/2/24,0
2016/2/25,0
2016/2/26,0
2016/2/27,0
2016/2/28,0
2016/2/29,0
2016/3/1,0
2016/3/2,0
2016/3/3,0
2016/3/4,0
2016/3/5,0
2016/3/6,0
2016/3/7,0
2016/3/8,0
2016/3/9,0
2016/3/10,0
2016/3/11,0
2016/3/12,0
2016/3/13,0
2016/3/14,0
2016/3/15,0
2016/3/16,50
2016/3/17,254
2016/3/18,209
2016/3/19,23
2016/3/20,11
2016/3/21,267
2016/3/22,389
2016/3/23,193
2016/3/24,104
2016/3/25,130
2016/3/26,7
2016/3/27,90
2016/3/28,205
2016/3/29,422
2016/3/30,228
2016/3/31,365
2016/4/1,417
2016/4/2,57
2016/4/3,262
2016/4/4,6
2016/4/5,528
2016/4/6,283
2016/4/7,711
2016/4/8,"3,116"
2016/4/9,"5,867"
2016/4/10,"6,089"
2016/4/11,"7,476"
2016/4/12,"7,482"
2016/4/13,"7,947"
2016/4/14,"8,369"
2016/4/15,"10,312"
2016/4/16,"9,735"
2016/4/17,"8,280"
2016/4/18,"10,360"
2016/4/19,"8,700"
2016/4/20,"10,359"
2016/4/21,"9,746"
2016/4/22,"11,214"
2016/4/23,"11,784"
2016/4/24,"9,808"
2016/4/25,"10,096"
2016/4/26,"12,497"
2016/4/27,"12,134"
2016/4/28,"12,387"
2016/4/29,"14,008"
2016/4/30,"8,643"
2016/5/1,"10,794"
2016/5/2,"12,588"
2016/5/3,"11,334"
2016/5/4,"10,243"
2016/5/5,"12,231"
2016/5/6,"10,868"
2016/5/7,"11,012"
2016/5/8,"9,145"
2016/5/9,"10,207"
2016/5/10,"12,842"
2016/5/11,"10,022"
2016/5/12,"9,746"
2016/5/13,"9,920"
2016/5/14,"10,801"
2016/5/15,"8,588"
2016/5/16,"9,390"
2016/5/17,"9,790"
2016/5/18,"11,239"
2016/5/19,"14,061"
2016/5/20,"9,468"
2016/5/21,"9,708"
2016/5/22,"8,255"
2016/5/23,"9,304"
2016/5/24,"9,607"
2016/5/25,"10,479"
2016/5/26,"11,731"
2016/5/27,"12,974"
2016/5/28,"10,367"
2016/5/29,"8,777"
2016/5/30,"9,010"
2016/5/31,"12,279"
2016/6/1,"12,234"
2016/6/2,"12,097"
2016/6/3,"9,631"
2016/6/4,"8,656"
2016/6/5,"8,172"
2016/6/6,"9,298"
2016/6/7,"9,930"
2016/6/8,"10,788"
2016/6/9,"7,709"
2016/6/10,"8,481"
2016/6/11,"7,787"
2016/6/12,"9,475"
2016/6/13,"10,672"
2016/6/14,"13,583"
2016/6/15,"14,120"
2016/6/16,"10,768"
2016/6/17,"11,134"
2016/6/18,"8,540"
2016/6/19,"9,111"
2016/6/20,"9,235"
2016/6/21,"10,062"
2016/6/22,"11,227"
2016/6/23,"11,573"
2016/6/24,"9,497"
2016/6/25,"8,990"
2016/6/26,"9,013"
2016/6/27,"11,049"
2016/6/28,"10,776"
2016/6/29,"9,422"
2016/6/30,"10,093"
2016/7/1,"10,004"
2016/7/2,"8,278"
2016/7/3,"8,910"
2016/7/4,"8,958"
2016/7/5,"10,415"
2016/7/6,"10,953"
2016/7/7,"12,129"
2016/7/8,"13,083"
2016/7/9,"33,875"
2016/7/10,"73,394"
2016/7/11,"108,394"
2016/7/12,"96,929"
2016/7/13,"111,724"
2016/7/14,"113,928"
2016/7/15,"101,863"
2016/7/16,"101,363"
2016/7/17,"92,713"
2016/7/18,"96,566"
2016/7/19,"105,585"
2016/7/20,"105,367"
2016/7/21,"100,625"
2016/7/22,"109,844"
2016/7/23,"98,682"
2016/7/24,"98,305"
2016/7/25,"105,431"
2016/7/26,"107,117"
2016/7/27,"129,107"
2016/7/28,"118,508"
2016/7/29,"118,212"
2016/7/30,"91,026"
2016/7/31,"84,285"
2016/8/1,"101,598"
2016/8/2,"147,041"
2016/8/3,"137,963"
2016/8/4,"162,736"
2016/8/5,"143,707"
2016/8/6,"102,100"
2016/8/7,"85,799"
2016/8/8,"109,700"
2016/8/9,"116,367"
2016/8/10,"123,324"
2016/8/11,"142,241"
2016/8/12,"146,334"
2016/8/13,"119,695"
2016/8/14,"111,416"
2016/8/15,"111,065"
2016/8/16,"127,968"
2016/8/17,"118,122"
2016/8/18,"125,961"
2016/8/19,"111,217"
2016/8/20,"91,557"
2016/8/21,"95,706"
2016/8/22,"104,220"
2016/8/23,"101,067"
2016/8/24,"108,450"
2016/8/25,"117,767"
2016/8/26,"106,183"
2016/8/27,"83,739"
2016/8/28,"76,956"
2016/8/29,"101,978"
2016/8/30,"128,302"
2016/8/31,"118,719"
2016/9/1,"119,785"
2016/9/2,"131,375"
2016/9/3,"98,206"
2016/9/4,"89,654"
2016/9/5,"113,816"
2016/9/6,"134,818"
2016/9/7,"155,872"
2016/9/8,"261,174"
2016/9/9,"137,799"
2016/9/10,"101,342"
2016/9/11,"86,069"
2016/9/12,"110,583"
2016/9/13,"136,757"
2016/9/14,"126,662"
2016/9/15,"95,327"
2016/9/16,"89,563"
2016/9/17,"102,071"
2016/9/18,"104,661"
2016/9/19,"105,062"
2016/9/20,"101,066"
2016/9/21,"109,657"
2016/9/22,"109,157"
2016/9/23,"105,470"
2016/9/24,"76,495"
2016/9/25,"71,992"
2016/9/26,"81,777"
2016/9/27,"93,717"
2016/9/28,"96,895"
2016/9/29,"103,954"
2016/9/30,"90,211"
2016/10/1,"67,170"
2016/10/2,"65,715"
2016/10/3,"63,768"
2016/10/4,"58,951"
2016/10/5,"75,665"
2016/10/6,"60,022"
2016/10/7,"58,858"
2016/10/8,"73,897"
2016/10/9,"71,493"
2016/10/10,"85,717"
2016/10/11,"95,720"
2016/10/12,"92,348"
2016/10/13,"100,625"
2016/10/14,"100,774"
2016/10/15,"78,860"
2016/10/16,"77,703"
2016/10/17,"86,650"
2016/10/18,"96,290"
2016/10/19,"119,074"
2016/10/20,"95,305"
2016/10/21,"120,261"
