# ----------------------------------------
# 全部移动应用数据
# 互动度概览
# 20160101-20191017
# ----------------------------------------

天索引,平均屏幕停留时间
2016/1/1,00:00:00
2016/1/2,00:00:00
2016/1/3,00:00:00
2016/1/4,00:00:00
2016/1/5,00:00:00
2016/1/6,00:00:00
2016/1/7,00:00:00
2016/1/8,00:00:00
2016/1/9,00:00:00
2016/1/10,00:00:00
2016/1/11,00:00:00
2016/1/12,00:00:00
2016/1/13,00:00:00
2016/1/14,00:00:00
2016/1/15,00:00:00
2016/1/16,00:00:00
2016/1/17,00:00:00
2016/1/18,00:00:00
2016/1/19,00:00:00
2016/1/20,00:00:00
2016/1/21,00:00:00
2016/1/22,00:00:00
2016/1/23,00:00:00
2016/1/24,00:00:00
2016/1/25,00:00:00
2016/1/26,00:00:00
2016/1/27,00:00:00
2016/1/28,00:00:00
2016/1/29,00:00:00
2016/1/30,00:00:00
2016/1/31,00:00:00
2016/2/1,00:00:00
2016/2/2,00:00:00
2016/2/3,00:00:00
2016/2/4,00:00:00
2016/2/5,00:00:00
2016/2/6,00:00:00
2016/2/7,00:00:00
2016/2/8,00:00:00
2016/2/9,00:00:00
2016/2/10,00:00:00
2016/2/11,00:00:00
2016/2/12,00:00:00
2016/2/13,00:00:00
2016/2/14,00:00:00
2016/2/15,00:00:00
2016/2/16,00:00:00
2016/2/17,00:00:00
2016/2/18,00:00:00
2016/2/19,00:00:00
2016/2/20,00:00:00
2016/2/21,00:00:00
2016/2/22,00:00:00
2016/2/23,00:00:00
2016/2/24,00:00:00
2016/2/25,00:00:00
2016/2/26,00:00:00
2016/2/27,00:00:00
2016/2/28,00:00:00
2016/2/29,00:00:00
2016/3/1,00:00:00
2016/3/2,00:00:00
2016/3/3,00:00:00
2016/3/4,00:00:00
2016/3/5,00:00:00
2016/3/6,00:00:00
2016/3/7,00:00:00
2016/3/8,00:00:00
2016/3/9,00:00:00
2016/3/10,00:00:00
2016/3/11,00:00:00
2016/3/12,00:00:00
2016/3/13,00:00:00
2016/3/14,00:00:00
2016/3/15,00:00:00
2016/3/16,00:04:20
2016/3/17,00:02:31
2016/3/18,00:01:37
2016/3/19,00:00:36
2016/3/20,00:03:26
2016/3/21,00:02:57
2016/3/22,00:02:05
2016/3/23,00:02:49
2016/3/24,00:02:21
2016/3/25,00:02:42
2016/3/26,00:01:08
2016/3/27,00:02:25
2016/3/28,00:02:40
2016/3/29,00:01:23
2016/3/30,00:02:24
2016/3/31,00:01:20
2016/4/1,00:01:38
2016/4/2,00:02:43
2016/4/3,00:01:36
2016/4/4,00:02:04
2016/4/5,00:01:19
2016/4/6,00:02:10
