# ----------------------------------------
# 全部移动应用数据
# 互动度概览
# 20160101-20191017
# ----------------------------------------

天索引,每个会话的屏幕浏览量
2016/1/1,0.00
2016/1/2,0.00
2016/1/3,0.00
2016/1/4,0.00
2016/1/5,0.00
2016/1/6,0.00
2016/1/7,0.00
2016/1/8,0.00
2016/1/9,0.00
2016/1/10,0.00
2016/1/11,0.00
2016/1/12,0.00
2016/1/13,0.00
2016/1/14,0.00
2016/1/15,0.00
2016/1/16,0.00
2016/1/17,0.00
2016/1/18,0.00
2016/1/19,0.00
2016/1/20,0.00
2016/1/21,0.00
2016/1/22,0.00
2016/1/23,0.00
2016/1/24,0.00
2016/1/25,0.00
2016/1/26,0.00
2016/1/27,0.00
2016/1/28,0.00
2016/1/29,0.00
2016/1/30,0.00
2016/1/31,0.00
2016/2/1,0.00
2016/2/2,0.00
2016/2/3,0.00
2016/2/4,0.00
2016/2/5,0.00
2016/2/6,0.00
2016/2/7,0.00
2016/2/8,0.00
2016/2/9,0.00
2016/2/10,0.00
2016/2/11,0.00
2016/2/12,0.00
2016/2/13,0.00
2016/2/14,0.00
2016/2/15,0.00
2016/2/16,0.00
2016/2/17,0.00
2016/2/18,0.00
2016/2/19,0.00
2016/2/20,0.00
2016/2/21,0.00
2016/2/22,0.00
2016/2/23,0.00
2016/2/24,0.00
2016/2/25,0.00
2016/2/26,0.00
2016/2/27,0.00
2016/2/28,0.00
2016/2/29,0.00
2016/3/1,0.00
2016/3/2,0.00
2016/3/3,0.00
2016/3/4,0.00
2016/3/5,0.00
2016/3/6,0.00
2016/3/7,0.00
2016/3/8,0.00
2016/3/9,0.00
2016/3/10,0.00
2016/3/11,0.00
2016/3/12,0.00
2016/3/13,0.00
2016/3/14,0.00
2016/3/15,0.00
2016/3/16,3.12
2016/3/17,8.47
2016/3/18,7.21
2016/3/19,3.83
2016/3/20,1.83
2016/3/21,9.54
2016/3/22,13.41
2016/3/23,6.66
2016/3/24,6.50
2016/3/25,10.00
2016/3/26,1.75
2016/3/27,11.25
2016/3/28,10.25
2016/3/29,15.63
2016/3/30,12.00
2016/3/31,5.21
2016/4/1,14.38
2016/4/2,9.50
2016/4/3,14.56
2016/4/4,3.00
2016/4/5,22.96
2016/4/6,6.43
2016/4/7,8.46
2016/4/8,3.04
2016/4/9,2.90
2016/4/10,2.70
2016/4/11,3.17
2016/4/12,3.11
2016/4/13,3.00
2016/4/14,3.22
2016/4/15,3.16
2016/4/16,3.38
2016/4/17,3.22
2016/4/18,3.27
2016/4/19,3.42
2016/4/20,3.14
2016/4/21,3.48
2016/4/22,3.14
2016/4/23,3.25
2016/4/24,3.01
2016/4/25,2.90
2016/4/26,3.05
2016/4/27,2.92
2016/4/28,3.36
2016/4/29,3.01
2016/4/30,3.05
2016/5/1,3.03
2016/5/2,3.36
2016/5/3,3.14
2016/5/4,3.06
2016/5/5,3.14
2016/5/6,3.21
2016/5/7,3.28
2016/5/8,3.04
2016/5/9,3.03
2016/5/10,3.52
2016/5/11,3.18
2016/5/12,3.02
2016/5/13,3.11
2016/5/14,3.48
2016/5/15,3.10
2016/5/16,3.33
2016/5/17,3.58
2016/5/18,3.51
2016/5/19,3.73
2016/5/20,2.89
2016/5/21,3.28
2016/5/22,3.20
2016/5/23,3.02
2016/5/24,3.38
2016/5/25,3.07
2016/5/26,3.35
2016/5/27,3.64
2016/5/28,3.53
2016/5/29,3.02
2016/5/30,3.02
2016/5/31,3.72
2016/6/1,3.83
2016/6/2,3.50
2016/6/3,3.03
2016/6/4,2.98
2016/6/5,2.97
2016/6/6,3.30
2016/6/7,3.15
2016/6/8,3.25
2016/6/9,3.08
2016/6/10,2.68
2016/6/11,2.77
2016/6/12,2.93
2016/6/13,3.65
2016/6/14,3.71
2016/6/15,3.81
2016/6/16,3.42
2016/6/17,3.49
2016/6/18,3.15
2016/6/19,3.14
2016/6/20,3.23
2016/6/21,3.27
2016/6/22,3.61
2016/6/23,3.88
2016/6/24,3.37
2016/6/25,3.13
2016/6/26,2.97
2016/6/27,3.37
2016/6/28,3.25
2016/6/29,3.26
2016/6/30,3.47
2016/7/1,3.34
2016/7/2,3.11
2016/7/3,3.39
2016/7/4,3.38
2016/7/5,3.43
2016/7/6,3.46
2016/7/7,3.64
2016/7/8,3.35
2016/7/9,6.54
2016/7/10,9.51
2016/7/11,10.54
2016/7/12,11.02
2016/7/13,11.66
2016/7/14,11.77
2016/7/15,11.31
2016/7/16,10.96
2016/7/17,9.69
2016/7/18,10.82
2016/7/19,11.57
2016/7/20,11.12
2016/7/21,11.48
2016/7/22,11.55
2016/7/23,11.05
2016/7/24,10.65
2016/7/25,10.94
2016/7/26,11.30
2016/7/27,11.60
2016/7/28,11.04
2016/7/29,11.69
2016/7/30,11.10
2016/7/31,10.95
2016/8/1,10.86
2016/8/2,13.06
2016/8/3,11.79
2016/8/4,12.45
2016/8/5,12.01
2016/8/6,10.30
2016/8/7,8.94
2016/8/8,10.43
2016/8/9,10.98
2016/8/10,11.20
2016/8/11,12.52
2016/8/12,11.75
2016/8/13,11.04
2016/8/14,10.12
2016/8/15,10.93
2016/8/16,11.15
2016/8/17,11.33
2016/8/18,11.80
2016/8/19,11.28
2016/8/20,10.28
2016/8/21,10.22
2016/8/22,11.55
2016/8/23,11.65
2016/8/24,12.14
2016/8/25,12.12
2016/8/26,10.15
2016/8/27,9.66
2016/8/28,9.82
2016/8/29,11.20
2016/8/30,11.61
2016/8/31,12.74
2016/9/1,13.22
2016/9/2,12.55
2016/9/3,11.78
2016/9/4,11.13
2016/9/5,12.36
2016/9/6,13.60
2016/9/7,13.57
2016/9/8,13.78
2016/9/9,12.56
2016/9/10,11.36
2016/9/11,10.22
2016/9/12,11.35
2016/9/13,10.77
2016/9/14,8.80
2016/9/15,8.51
2016/9/16,8.41
2016/9/17,8.74
2016/9/18,10.00
2016/9/19,9.59
2016/9/20,9.17
2016/9/21,9.99
2016/9/22,10.03
2016/9/23,10.79
2016/9/24,8.63
2016/9/25,8.87
2016/9/26,8.63
2016/9/27,9.73
2016/9/28,10.07
2016/9/29,10.90
2016/9/30,9.24
2016/10/1,6.99
2016/10/2,6.48
2016/10/3,6.64
